,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
89,Santa Barbara,75,US,1554411915,67,34.42,-119.7,64.99,13.87
90,Sisimiut,48,GL,1554412124,86,66.94,-53.67,28.49,2.17
91,Pampa,1,US,1554411699,37,35.54,-100.96,72.0,6.93
92,Alice Springs,0,AU,1554409800,41,-23.7,133.88,57.2,5.41
93,Sawtell,90,AU,1554412097,77,-30.38,153.1,66.2,9.17
94,Nelson Bay,40,AU,1554412083,93,-32.72,152.14,70.0,9.17
95,Agadez,12,NE,1554412135,18,16.97,7.99,79.97,9.1
96,Castro,75,CL,1554408000,71,-42.48,-73.76,53.6,6.93
97,Upernavik,44,GL,1554412135,94,72.79,-56.15,22.37,24.09
98,Santiago,20,CL,1554412014,40,-33.44,-70.65,75.2,3.36
99,Maldonado,75,UY,1554410700,93,-34.91,-54.96,66.2,6.93
100,Male,8,UA,1554412136,71,50.74,33.7,31.82,3.18
101,Baishishan,88,CN,1554412136,48,43.58,127.55,35.06,11.01
102,Victoria,75,BN,1554409800,88,5.28,115.24,78.8,5.41
103,Prieska,20,ZA,1554412137,35,-29.67,22.74,62.24,6.76
104,New Norfolk,20,AU,1554412095,75,-42.78,147.06,48.99,10.29
105,Port Alfred,32,ZA,1554411989,83,-33.59,26.89,66.0,11.01
106,Derzhavinsk,92,KZ,1554412137,100,51.1,66.31,41.27,5.3
107,Walvis Bay,0,NA,1554411728,77,-22.95,14.51,60.8,4.7
108,Atar,8,MR,1554412138,68,20.52,-13.05,60.35,4.07
109,Archidona,40,EC,1554408000,59,-0.91,-77.81,91.4,8.05
110,Muroto,36,JP,1554412138,100,33.37,134.14,46.22,2.73
111,Arteaga,5,MX,1554411957,48,25.45,-100.85,90.0,8.05
112,Yima,0,CN,1554412138,66,34.75,111.87,45.68,5.19
113,Kodiak,90,US,1554412111,87,39.95,-94.76,55.99,9.33
114,Razole,0,IN,1554412139,100,16.48,81.84,82.67,10.0
115,Marzuq,76,YE,1554412139,75,14.4,46.47,60.71,2.51
116,Tupiza,0,BO,1554412139,19,-21.44,-65.72,57.47,6.2
117,Vyshkov,0,RU,1554408000,48,52.48,31.69,39.2,4.47
118,Norman Wells,75,CA,1554408000,50,65.28,-126.83,8.6,6.93
119,Lata,0,IN,1554412140,78,30.78,78.62,46.58,2.84
120,Pevek,44,RU,1554412140,92,69.7,170.27,16.25,5.41
121,Cape Town,75,ZA,1554412091,77,-33.93,18.42,62.01,12.75
122,Klaksvik,48,FO,1554409200,60,62.23,-6.59,42.8,19.46
123,Imbituba,40,BR,1554408000,78,-28.24,-48.67,80.6,13.87
124,Khatanga,88,RU,1554412141,89,71.98,102.47,17.06,14.03
125,Chokurdakh,32,RU,1554412141,72,70.62,147.9,8.78,5.75
126,Bubaque,0,GW,1554411849,80,11.28,-15.83,84.56,10.67
127,Port Lincoln,0,AU,1554412112,73,-34.72,135.86,68.81,22.08
128,Hadejia,0,NG,1554412141,18,12.45,10.04,82.22,9.33
129,Verkhnyaya Toyma,0,RU,1554412141,89,62.24,45.0,28.4,6.42
130,Terrace,90,CA,1554408000,81,54.52,-128.61,42.8,3.36
131,Salalah,20,OM,1554407400,74,17.01,54.1,80.6,3.36
132,Aklavik,75,CA,1554410820,65,68.22,-135.01,10.4,5.82
133,Molteno,76,ZA,1554412142,100,-31.4,26.36,54.32,1.05
134,Tigil,48,RU,1554412142,84,57.8,158.67,29.3,13.8
135,Pakxan,0,LA,1554412142,94,18.39,103.66,68.27,1.95
136,Paamiut,88,GL,1554412152,88,61.99,-49.67,34.43,24.09
137,Prince Rupert,90,CA,1554411360,93,54.32,-130.32,44.6,9.17
138,Road Town,40,VG,1554412032,65,18.42,-64.62,80.6,6.93
139,Dunedin,88,NZ,1554411886,73,-45.87,170.5,50.0,5.99
140,Gilgit,92,PK,1554412153,98,35.92,74.31,32.27,0.38
141,Saint-Philippe,75,CA,1554412138,40,45.36,-73.48,37.0,11.41
142,Velyka Bahachka,0,UA,1554412153,65,49.79,33.72,33.26,4.52
143,Severo-Kurilsk,88,RU,1554412154,96,50.68,156.12,32.72,5.19
144,Tottori,64,JP,1554412154,99,35.5,134.23,36.05,5.64
145,Dingle,0,PH,1554412154,88,11.0,122.67,74.3,8.21
146,Tasiilaq,0,GL,1554407400,86,65.61,-37.64,26.6,4.7
147,Nanortalik,88,GL,1554412142,95,60.14,-45.24,29.66,23.31
148,Burhaniye,0,TR,1554412028,53,39.51,26.98,55.0,16.11
149,Fort Morgan,0,US,1554411985,19,40.25,-103.8,68.0,8.05
150,Saint George,20,GR,1554411805,87,39.45,22.34,52.0,6.93
151,Cerro Largo,92,BR,1554412155,93,-28.15,-54.74,74.39,4.74
152,Puyo,40,EC,1554408000,59,-1.48,-78.0,91.4,8.05
153,Mount Gambier,36,AU,1554408000,52,-37.83,140.78,66.2,12.75
154,Uvinza,20,TZ,1554412155,93,-5.1,30.39,65.3,2.39
155,Mweka,48,CD,1554412155,97,-4.85,21.56,71.33,2.17
156,Isangel,92,VU,1554412156,100,-19.55,169.27,77.81,13.47
157,Wick,20,GB,1554412146,86,51.45,-2.43,43.0,10.29
158,Rocha,68,UY,1554412156,90,-34.48,-54.34,69.53,5.64
159,Seydisehir,48,TR,1554412156,99,37.42,31.85,37.31,1.83
160,Kabanjahe,24,ID,1554411936,43,3.1,98.49,84.0,1.39
161,Rio Gallegos,40,AR,1554408000,50,-51.62,-69.22,55.4,32.21
162,Te Anau,48,NZ,1554412062,93,-45.41,167.72,40.82,4.97
163,Horqueta,0,PY,1554412157,75,-23.34,-57.05,84.29,4.07
164,Alto Araguaia,36,BR,1554412157,86,-17.32,-53.22,77.45,4.85
165,Swan River,48,CA,1554412157,82,52.11,-101.27,43.07,3.85
166,Kenai,1,US,1554412024,37,60.55,-151.26,37.99,17.22
167,Saldanha,92,PT,1554412158,96,41.42,-6.55,40.55,10.22
168,Grindavik,75,IS,1554412016,93,63.84,-22.43,39.99,6.93
169,Acajutla,36,SV,1554411920,70,13.59,-89.83,84.99,3.0
170,Awbari,0,LY,1554412158,45,26.59,12.77,67.19,2.84
171,Zyryanka,88,RU,1554412158,83,65.73,150.89,17.42,3.96
172,Vao,0,EE,1554412159,83,59.1,26.19,32.45,3.74
173,Puerto Ayora,20,EC,1554408991,66,-0.74,-90.35,87.8,19.46
174,Coquimbo,0,CL,1554408000,56,-29.95,-71.34,69.8,10.29
175,Kungurtug,88,RU,1554412159,96,50.6,97.53,29.75,2.62
176,Hasaki,75,JP,1554411876,93,35.73,140.83,41.0,2.24
177,Matay,0,EG,1554412159,45,28.42,30.79,60.08,8.1
178,Luderitz,0,NA,1554411900,71,-26.65,15.16,62.51,18.72
179,Tocopilla,8,CL,1554412145,86,-22.09,-70.2,67.28,4.97
180,Yaring,24,TH,1554412170,91,6.87,101.37,72.23,2.39
181,Buraydah,0,SA,1554408000,28,26.33,43.97,73.4,9.17
182,Kaltasy,0,RU,1554412170,88,55.97,54.79,28.58,6.98
183,Umm Lajj,0,SA,1554412170,100,25.02,37.27,64.85,4.29
184,Cherskiy,0,RU,1554412171,57,68.75,161.3,15.8,1.95
185,Masallatah,76,LY,1554412171,40,32.62,14.0,73.58,13.02
186,Clyde River,20,CA,1554408000,77,70.47,-68.59,5.0,4.7
187,Kendari,76,ID,1554412171,94,-3.99,122.52,72.95,2.95
188,Esperance,20,TT,1554411656,58,10.24,-61.45,86.0,17.22
189,Manggar,24,ID,1554412171,100,-2.88,108.27,75.74,2.73
190,Nyurba,64,RU,1554412172,79,63.29,118.35,25.25,2.62
191,Souillac,0,FR,1554412171,75,45.6,-0.6,46.99,10.29
192,Palmer,0,AU,1554412169,22,-34.85,139.16,78.8,20.8
193,Groningen,90,NL,1554412074,93,53.22,6.57,44.6,3.36
194,Iquique,0,CL,1554408000,35,-20.22,-70.14,84.2,13.87
195,Chapada dos Guimaraes,40,BR,1554408000,66,-15.46,-55.75,91.4,3.36
196,East London,76,ZA,1554412173,100,-33.02,27.91,70.7,22.3
197,Cedar City,1,US,1554411611,41,37.68,-113.06,57.2,17.22
198,Watsa,0,CD,1554412173,85,3.04,29.53,69.8,2.73
199,Tiksi,0,RU,1554412173,65,71.64,128.87,14.63,6.64
200,Bredasdorp,36,ZA,1554411676,67,-34.53,20.04,60.01,6.93
201,Havelock,1,US,1554412066,39,34.88,-76.9,73.4,6.93
202,Hovd,40,NO,1554411665,74,63.83,10.7,39.2,11.41
203,Kahului,20,US,1554411873,53,20.89,-156.47,82.4,9.17
204,Quatre Cocos,20,MU,1554411842,88,-20.21,57.76,77.0,3.36
205,Ust-Kulom,0,RU,1554412174,85,61.69,53.69,25.7,3.62
206,Kautokeino,12,NO,1554412174,72,69.01,23.04,11.57,2.73
207,Kushima,92,JP,1554411765,70,31.5,131.29,46.0,4.0
208,Gisborne,80,NZ,1554411610,97,-38.66,178.02,55.0,3.0
209,Fuente Palmera,12,ES,1554409800,47,37.7,-5.1,55.4,12.75
210,Ryde,20,GB,1554412145,87,50.73,-1.16,48.0,6.93
211,Alcudia,20,ES,1554411968,70,39.85,3.12,51.01,3.36
212,Georgetown,40,GY,1554408000,70,6.8,-58.16,86.0,16.11
213,Weihe,0,CN,1554412126,84,32.99,105.33,52.0,1.16
214,Emba,20,CY,1554409800,87,34.81,32.42,59.0,3.36
215,Guerrero Negro,0,MX,1554412177,53,27.97,-114.04,69.53,10.22
216,Cairo Montenotte,75,IT,1554412169,71,44.4,8.27,50.0,6.93
217,Srednekolymsk,64,RU,1554412177,83,67.46,153.71,15.98,2.95
218,Cooma,90,AU,1554409800,100,-36.24,149.13,51.8,11.41
219,Batagay-Alyta,68,RU,1554412177,89,67.8,130.41,9.41,2.84
220,Pemzashen,20,AM,1554409800,92,40.59,43.94,42.8,5.82
221,Ossora,92,RU,1554412178,97,59.24,163.07,31.64,18.05
222,Lorengau,48,PG,1554412178,100,-2.02,147.27,82.58,5.64
223,Hammerfest,40,NO,1554409200,92,70.66,23.68,28.4,8.05
224,Kipini,20,KE,1554407760,79,-2.53,40.53,84.2,7.65
225,Rivne,36,UA,1554408637,45,50.62,26.25,48.0,4.0
226,Rio Tercero,24,AR,1554412188,39,-32.17,-64.11,68.9,21.97
227,Peleduy,68,RU,1554412189,80,59.63,112.75,24.17,3.4
228,Ust-Maya,44,RU,1554412189,80,60.42,134.54,16.07,3.62
229,Burnie,12,AU,1554412144,96,-41.05,145.91,55.0,7.0
230,Maketu,76,NZ,1554412024,93,-37.76,176.45,64.0,1.01
231,Airai,32,TL,1554412189,86,-8.93,125.41,65.75,2.51
232,Gat,0,SN,1554409800,64,14.69,-16.54,68.0,23.04
233,Nerchinskiy Zavod,0,RU,1554412190,73,51.31,119.61,16.7,3.62
234,Kachug,56,RU,1554412190,65,53.96,105.89,11.03,4.41
235,Eureka,40,US,1554411796,82,40.8,-124.16,61.0,14.99
236,Pryozerne,0,UA,1554409800,33,49.42,24.47,46.4,11.18
237,Byron Bay,75,AU,1554411781,77,-28.65,153.62,68.0,11.41
238,Mocuba,88,MZ,1554412190,94,-16.84,36.99,73.67,2.84
239,Tabuk,76,PH,1554412190,95,17.41,121.44,66.11,1.72
240,Mollendo,0,PE,1554412191,51,-17.03,-72.02,74.48,3.74
241,Atambua,32,ID,1554412191,100,-9.11,124.89,76.64,3.74
242,Komsomolskiy,92,RU,1554412191,91,67.55,63.78,31.82,19.51
243,Valdivia,75,CL,1554408000,54,-39.81,-73.25,59.0,6.93
244,Tortoli,5,IT,1554411598,46,39.93,9.66,50.0,17.22
245,Lagunas,12,PE,1554412192,39,-5.23,-75.68,96.08,4.97
246,Cabo San Lucas,75,MX,1554411918,44,22.89,-109.91,88.0,3.36
247,Chase,1,US,1554412113,28,43.89,-85.64,50.0,10.29
248,Hofn,32,IS,1554412192,100,64.25,-15.21,36.23,7.65
249,Pyaozerskiy,88,RU,1554412086,96,65.83,31.17,32.09,9.66
250,Broome,0,GB,1554412178,81,52.47,1.45,46.99,10.29
251,Falmouth,75,GB,1554411924,93,50.16,-5.07,50.0,4.7
252,Vigrestad,0,NO,1554411763,81,58.57,5.7,44.01,4.7
253,Bambous Virieux,20,MU,1554412142,88,-20.34,57.76,77.0,3.36
254,Xam Nua,0,LA,1554412193,93,20.42,104.04,56.39,1.72
255,Dehloran,0,IR,1554412027,40,32.69,47.27,65.3,7.99
256,Nikolskoye,0,RU,1554412002,44,59.7,30.79,41.0,4.47
257,Ahipara,0,NZ,1554412194,93,-35.17,173.16,64.04,7.65
258,Alofi,75,NU,1554408000,83,-19.06,-169.92,80.6,6.93
259,Altamira,40,BR,1554408000,78,-3.2,-52.21,82.4,6.93
260,Vostok,92,RU,1554412195,83,46.45,135.83,26.42,3.18
261,Hibbing,1,US,1554411948,32,47.43,-92.94,45.0,10.29
262,Noumea,75,NC,1554409800,83,-22.28,166.46,73.4,2.24
263,Vila Franca do Campo,75,PT,1554412164,58,37.72,-25.43,55.4,14.99
264,Rosetta,40,EG,1554408000,77,31.4,30.42,60.8,6.93
265,Magdalena,40,BO,1554408000,66,-13.26,-64.05,87.8,4.7
266,Sambava,88,MG,1554412196,100,-14.27,50.17,81.5,12.68
267,Znamenskoye,64,RU,1554412196,85,57.13,73.82,27.77,7.31
268,Carnduff,0,CA,1554411664,52,49.17,-101.8,61.0,8.01
269,Balkanabat,0,TM,1554412196,71,39.51,54.36,48.47,4.74
270,Yamada,20,JP,1554411812,76,36.58,137.08,51.8,10.29
271,Daru,12,SL,1554412207,68,7.99,-10.85,82.13,8.21
272,Fairborn,1,US,1554411974,50,39.82,-84.02,64.4,9.17
273,Anda,92,CN,1554412207,94,46.41,125.33,32.45,10.45
274,Tessalit,44,ML,1554412207,20,20.2,1.01,83.93,6.64
275,Kankakee,90,US,1554412204,76,41.12,-87.86,52.0,18.34
276,Sur,12,OM,1554412208,81,22.57,59.53,79.61,1.61
277,Seydi,8,NE,1554412208,16,13.34,7.75,81.77,8.99
278,Wagar,92,US,1554412153,96,31.44,-87.99,61.0,3.0
279,College,1,US,1554411948,29,64.86,-147.8,30.0,14.99
280,Camacha,40,PT,1554411600,63,33.08,-16.33,62.6,19.46
281,Chuguyevka,92,RU,1554412211,81,44.17,133.87,31.64,3.96
282,Barillas,20,ES,1554411916,40,41.97,-1.66,53.6,10.29
283,Opuwo,0,NA,1554412212,74,-18.06,13.84,66.11,3.74
284,Namatanai,92,PG,1554412212,100,-3.66,152.44,79.43,6.42
285,Dakoro,0,NE,1554412212,20,14.51,6.76,82.85,8.32
286,Sinfra,20,CI,1554411745,79,6.62,-5.91,84.2,5.97
287,Digha,0,IN,1554412213,89,21.62,87.51,83.03,14.7
288,Ucluelet,90,CA,1554412188,81,48.94,-125.55,55.0,10.29
289,Naze,64,NG,1554412213,94,5.43,7.07,74.39,2.39
290,Hobyo,24,SO,1554412213,83,5.35,48.53,81.23,9.44
291,Saurimo,56,AO,1554412213,87,-9.66,20.4,70.43,1.95
292,Northam,40,GB,1554411981,86,51.04,-4.21,42.01,6.93
293,Bilibino,0,RU,1554412214,74,68.06,166.44,17.6,2.62
294,Hashtrud,36,IR,1554412214,74,37.48,47.05,28.49,3.62
295,Bourg-en-Bresse,20,FR,1554412048,88,46.21,5.22,41.0,2.24
296,Faanui,92,PF,1554412214,100,-16.48,-151.75,83.66,8.1
297,Paramonga,20,PE,1554412214,93,-10.68,-77.82,69.26,11.12
298,Kutum,0,SD,1554412215,17,14.2,24.66,63.95,9.44
299,Amarante do Maranhao,56,BR,1554412215,86,-5.57,-46.74,77.63,3.4
300,Stuttgart,75,DE,1554412192,86,48.78,9.18,42.01,5.82
301,Key West,75,US,1554411808,74,47.93,-96.78,39.0,17.22
302,Ponta Delgada,75,PT,1554412164,58,37.73,-25.67,55.4,14.99
303,Balabac,64,PH,1554412215,100,7.99,117.06,81.68,6.53
304,Voh,36,NC,1554412216,100,-20.95,164.69,77.45,14.03
305,Aswan,0,EG,1554408000,19,24.09,32.9,75.2,8.05
306,Phan Thiet,56,VN,1554412216,97,10.93,108.1,78.89,7.65
307,Ketchikan,90,US,1554409320,81,55.34,-131.65,46.4,5.82
308,Horki,0,BY,1554412216,59,54.29,30.98,30.29,6.2
309,Abha,40,SA,1554408000,93,18.22,42.5,62.6,6.93
310,Colares,75,PT,1554412204,93,38.8,-9.45,54.0,11.41
311,Tshela,80,CD,1554412217,87,-4.99,12.94,78.71,4.41
312,Meulaboh,12,ID,1554412217,100,4.14,96.13,79.34,4.97
313,Syracuse,1,US,1554411927,29,43.05,-76.15,41.0,8.05
314,Begoro,20,GH,1554412217,80,6.38,-0.38,79.07,9.33
315,Boffa,64,GN,1554412217,79,10.18,-14.04,80.42,2.95
316,Swan Hill,0,AU,1554412218,83,-35.34,143.56,59.27,11.68
317,Englehart,1,CA,1554408000,53,47.82,-79.87,26.6,9.17
318,Tena,40,EC,1554408000,59,-0.99,-77.82,91.4,8.05
319,Torbay,75,CA,1554412102,55,47.66,-52.73,37.4,29.97
320,Cairns,92,AU,1554412100,83,-16.92,145.77,75.2,12.75
321,Sao Gabriel da Cachoeira,40,BR,1554408000,70,-0.13,-67.09,89.6,4.7
322,Resistencia,90,AR,1554410280,100,-27.45,-58.99,78.8,4.7
323,Vila Velha,20,BR,1554412088,78,-3.71,-38.6,80.6,3.36
324,Pisco,90,PE,1554408000,30,-13.71,-76.2,71.6,16.11
325,Thoubal,88,IN,1554412229,93,24.61,94.03,60.17,0.6
326,Cabra,0,ES,1554411853,47,37.47,-4.43,55.4,12.75
327,Margate,20,AU,1554412214,75,-43.03,147.26,48.99,10.29
328,Presidente Epitacio,24,BR,1554412230,81,-21.76,-52.12,80.69,0.6
329,Puerto Pailas,75,BO,1554408000,78,-17.67,-62.79,80.6,18.34
330,Madurai,20,IN,1554409800,74,9.93,78.11,82.4,2.39
331,Banda Aceh,68,ID,1554411916,97,5.56,95.32,76.01,1.72
332,San Felipe,56,CL,1554412224,58,-32.75,-70.73,73.99,3.0
333,Presidencia Roque Saenz Pena,80,AR,1554412231,82,-26.79,-60.44,81.59,7.43
334,Huarmey,20,PE,1554412231,65,-10.07,-78.15,75.38,4.18
335,Manaure,20,CO,1554408000,62,11.78,-72.45,87.8,13.87
336,Pascagoula,90,US,1554412126,100,30.37,-88.56,62.6,5.82
337,Niamey,0,NE,1554408000,11,13.52,2.11,102.2,3.36
338,Bowen,75,AU,1554411964,94,-20.01,148.25,73.99,12.75
339,Xapuri,75,BR,1554408000,74,-10.65,-68.5,86.0,5.82
340,Haines Junction,56,CA,1554412044,75,60.75,-137.51,23.63,2.39
341,Ashington,20,GB,1554412132,81,55.18,-1.57,45.0,14.99
342,Portland,90,US,1554412053,58,45.52,-122.67,61.0,3.29
343,Teixeira,80,BR,1554412233,97,-7.22,-37.25,70.52,2.62
344,Saint-Georges,76,CA,1554411670,53,46.12,-70.67,28.99,11.01
345,Eenhana,0,NA,1554408000,30,-17.48,16.34,86.0,4.7
346,Merauke,56,ID,1554412233,99,-8.49,140.4,78.8,4.18
347,Aksarka,56,RU,1554412233,88,66.56,67.8,28.49,13.24
348,Porto Velho,20,BR,1554412234,83,-8.75,-63.87,85.82,2.51
349,Lakhipur,0,IN,1554412234,80,26.03,90.3,67.73,9.66
350,Rawson,0,AR,1554412234,27,-43.3,-65.11,66.65,14.25
351,Nuuk,75,GL,1554411740,98,64.17,-51.74,32.0,12.75
352,Caraguatatuba,0,BR,1554408000,38,-23.62,-45.41,89.6,2.24
353,Duldurga,24,RU,1554412237,61,50.67,113.59,14.18,6.2
354,Rayong,20,TH,1554412093,74,12.68,101.28,84.0,3.36
355,Zvishavane,0,ZW,1554412238,82,-20.32,30.05,61.34,4.85
356,Katsuura,75,JP,1554408000,75,33.93,134.5,44.6,8.05
357,Prykolotne,88,UA,1554412206,86,50.16,37.35,34.79,2.95
358,Turbat,0,PK,1554412238,21,26.0,63.05,81.14,6.98
359,Sovetskaya,80,RU,1554411664,8,44.78,41.17,35.01,5.99
360,Parry Sound,0,CA,1554411683,49,45.34,-80.04,34.0,4.74
361,Inirida,12,CO,1554412239,64,3.87,-67.92,88.7,2.73
362,Igurusi,76,TZ,1554412249,93,-8.83,33.85,60.71,2.28
363,Wajima,0,JP,1554412249,73,37.4,136.9,52.97,20.4
364,Wanparti,12,IN,1554412249,62,16.36,78.06,74.3,8.32
365,Umea,90,SE,1554409200,74,63.83,20.26,35.6,8.05
366,Rabo de Peixe,75,PT,1554412224,58,37.8,-25.58,55.4,14.99
367,Pacific Grove,75,US,1554412216,59,36.62,-121.92,64.0,6.93
368,Henties Bay,0,NA,1554411728,90,-22.12,14.28,60.01,3.0
369,Eyl,32,SO,1554412250,100,7.98,49.82,77.99,7.2
370,Ambilobe,0,MG,1554412250,86,-13.19,49.05,73.49,3.85
371,Los Llanos de Aridane,20,ES,1554412210,67,28.66,-17.92,62.6,13.87
372,Carauari,24,BR,1554412188,85,-4.88,-66.9,83.3,3.18
373,Cidreira,80,BR,1554412251,92,-30.17,-50.22,76.1,3.62
374,Merida,64,PH,1554412251,98,10.91,124.54,76.1,5.41
